filename,startTime,delta,distance,strokerate,heartrate,longitude,latitude
20250606-133259.pb,1749216779,31961,31.012253,49,101,,
20250606-133259.pb,1749216779,33060,33.472015,50,101,,
20250606-133259.pb,1749216779,34212,36.02208,50,101,,
20250606-133259.pb,1749216779,35352,39.8973,51,101,,
20250606-133259.pb,1749216779,36470,42.651936,51,106,,
20250606-133259.pb,1749216779,37611,45.419666,51,112,,
20250606-133259.pb,1749216779,38791,49.412624,52,112,,
20250606-133259.pb,1749216779,39901,52.18164,53,112,,
20250606-133259.pb,1749216779,40994,55.048172,53,112,,
20250606-133259.pb,1749216779,42111,57.916046,53,116,,
20250606-133259.pb,1749216779,43221,60.73538,53,116,,
20250606-133259.pb,1749216779,44392,64.883026,53,121,,
20250606-133259.pb,1749216779,45530,67.741486,53,122,,
20250606-133259.pb,1749216779,46650,70.560814,53,114,,
20250606-133259.pb,1749216779,47822,74.673996,53,106,,
20250606-133259.pb,1749216779,48950,77.45417,53,101,,
20250606-133259.pb,1749216779,50061,80.22497,53,101,,
20250606-133259.pb,1749216779,51580,84.30046,51,100,,
20250606-133259.pb,1749216779,53101,88.56929,49,100,,
20250606-133259.pb,1749216779,54601,93.148605,48,100,,
20250606-133259.pb,1749216779,56091,97.895325,46,100,,
20250606-133259.pb,1749216779,57523,102.75218,44,100,,
20250606-133259.pb,1749216779,58991,107.62252,42,101,,
20250606-133259.pb,1749216779,60503,112.51131,40,101,,
20250606-133259.pb,1749216779,61982,117.330635,41,102,,
20250606-133259.pb,1749216779,63443,122.15568,40,104,,
20250606-133259.pb,1749216779,64920,127.00582,40,106,,
20250606-133259.pb,1749216779,66463,131.83286,40,106,,
20250606-133259.pb,1749216779,67962,136.63443,40,106,,
20250606-133259.pb,1749216779,69552,141.51625,40,106,,
20250606-133259.pb,1749216779,71093,146.44852,39,106,,
20250606-133259.pb,1749216779,72673,151.42218,39,108,,
20250606-133259.pb,1749216779,74342,157.79538,38,108,,
20250606-133259.pb,1749216779,76072,162.92366,38,109,,
20250606-133259.pb,1749216779,78080,169.63925,35,110,,
20250606-133259.pb,1749216779,78240,169.63925,35,110,,
20250606-133259.pb,1749216779,80241,176.63602,33,110,,
20250606-133259.pb,1749216779,80430,178.01114,33,110,,
20250606-133259.pb,1749216779,82433,185.01512,31,110,,
20250606-133259.pb,1749216779,82563,185.01512,31,110,,
20250606-133259.pb,1749216779,84571,192.14946,28,111,,
20250606-133259.pb,1749216779,84832,193.37456,28,111,,
20250606-133259.pb,1749216779,86833,200.20688,27,111,,
20250606-133259.pb,1749216779,87063,200.20688,27,111,,
20250606-133259.pb,1749216779,89072,207.21016,27,113,,
20250606-133259.pb,1749216779,89302,207.21016,27,113,,
20250606-133259.pb,1749216779,91302,214.05063,27,113,,
20250606-133259.pb,1749216779,91611,215.41832,27,114,,
20250606-133259.pb,1749216779,93621,222.48828,26,114,,
20250606-133259.pb,1749216779,93950,223.83748,26,114,,
20250606-133259.pb,1749216779,95954,230.89104,26,114,,
20250606-133259.pb,1749216779,96240,230.89104,26,114,,
20250606-133259.pb,1749216779,98241,237.88545,26,114,,
20250606-133259.pb,1749216779,98364,239.24188,26,114,,
20250606-133259.pb,1749216779,100365,246.22736,26,114,,
20250606-133259.pb,1749216779,100922,247.55408,26,114,,
20250606-133259.pb,1749216779,102931,254.56174,26,115,,
20250606-133259.pb,1749216779,102951,254.56174,26,115,,
